row,Loan.Id,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,IntRatePrim,DebtToIncPrim,LoanPurposeRank,EmpYrs,InquiresRank,AvgIntFICO,HomeOwner,LoanLength,FICOBeg,FICOEnd,MoInc,EmpYrsMod
1,81174,20000,20000,8.90%,36 months,debt_consolidation,14.90%,SC,MORTGAGE,6541.67,735-739,14,14272,2,< 1 year,8,14,1,0,C,9,1,36,735,739,6541.67,0
2,99592,19200,19200,12.12%,36 months,debt_consolidation,28.36%,TX,MORTGAGE,4583.33,715-719,12,11140,1,2 years,12,28,1,2,B,11,1,36,715,719,4583.33,2
3,80059,35000,35000,21.98%,60 months,debt_consolidation,23.81%,CA,MORTGAGE,11500,690-694,14,21977,1,2 years,21,23,1,2,B,14,1,60,690,694,11500,2
4,15825,10000,9975,9.99%,36 months,debt_consolidation,14.30%,KS,MORTGAGE,3833.33,695-699,10,9346,0,5 years,9,14,1,5,A,14,1,36,695,699,3833.33,5
5,33182,12000,12000,11.71%,36 months,credit_card,18.78%,NJ,RENT,3195,695-699,11,14469,0,9 years,11,18,2,9,A,14,0,36,695,699,3195,9
6,62403,6000,6000,15.31%,36 months,other,20.05%,CT,OWN,4891.67,670-674,17,10391,2,3 years,15,20,3,3,C,16,1,36,670,674,4891.67,3
7,48808,10000,10000,7.90%,36 months,debt_consolidation,26.09%,MA,RENT,2916.67,720-724,10,15957,0,10+ years,7,26,1,11,A,11,0,36,720,724,2916.67,11
8,22090,33500,33450,17.14%,60 months,credit_card,14.70%,LA,MORTGAGE,13863.42,705-709,12,27874,0,10+ years,17,14,2,11,A,12,1,60,705,709,13863.42,11
9,76404,14675,14675,14.33%,36 months,credit_card,26.92%,CA,RENT,3150,685-689,9,7246,1,8 years,14,26,2,8,B,14,0,36,685,689,3150,8
10,15867,7000,7000,6.91%,36 months,credit_card,7.10%,CA,RENT,5000,715-719,8,7612,0,3 years,6,7,2,3,A,11,0,36,715,719,5000,3
11,94971,2000,2000,19.72%,36 months,moving,10.29%,FL,RENT,3575,670-674,10,12036,0,6 years,19,10,0,6,A,16,0,36,670,674,3575,6
12,36911,10625,10625,14.27%,36 months,debt_consolidation,12.54%,CA,MORTGAGE,4250,665-669,14,10767,0,< 1 year,14,12,1,0,A,17,1,36,665,669,4250,0
13,41200,28000,27975,21.67%,60 months,debt_consolidation,13.07%,CT,MORTGAGE,14166.67,670-674,12,10311,0,1 year,21,13,1,1,A,16,1,60,670,674,14166.67,1
14,83869,35000,34950,8.90%,36 months,debt_consolidation,20.46%,CT,RENT,9166.67,735-739,19,21536,0,1 year,8,20,1,1,A,9,0,36,735,739,9166.67,1
15,53853,9600,9600,7.62%,36 months,debt_consolidation,3.45%,DC,RENT,11250,725-729,13,4606,0,< 1 year,7,3,1,0,A,10,0,36,725,729,11250,0
16,21399,25000,24975,15.65%,60 months,debt_consolidation,21.99%,CA,RENT,5416.67,730-734,6,13929,0,9 years,15,21,1,9,A,9,0,60,730,734,5416.67,9
17,62127,10000,10000,12.12%,36 months,debt_consolidation,17.72%,CA,RENT,9000,695-699,18,20317,0,7 years,12,17,1,7,A,14,0,36,695,699,9000,7
18,23446,14000,13900.25,10.37%,60 months,debt_consolidation,11.95%,OH,RENT,4333.33,740-744,6,7419,0,9 years,10,11,1,9,A,9,0,60,740,744,4333.33,9
19,44987,10000,10000,9.76%,36 months,credit_card,7.13%,FL,RENT,2733.33,730-734,7,6112,2,3 years,9,7,2,3,C,9,0,36,730,734,2733.33,3
20,17977,5200,5175,9.99%,60 months,debt_consolidation,10.29%,AL,MORTGAGE,3750,760-764,10,16094,0,< 1 year,9,10,1,0,A,8,1,60,760,764,3750,0
21,86099,22000,21975,21.98%,36 months,debt_consolidation,11.19%,TX,MORTGAGE,6666.67,665-669,9,23124,0,10+ years,21,11,1,11,A,17,1,36,665,669,6666.67,11
22,99483,30000,30000,19.05%,60 months,credit_card,21.25%,FL,MORTGAGE,6250,695-699,12,34927,0,6 years,19,21,2,6,A,14,1,60,695,699,6250,6
23,28798,6500,6500,17.99%,60 months,car,19.63%,FL,RENT,4100,665-669,11,11697,1,2 years,17,19,0,2,B,17,0,60,665,669,4100,2
24,24168,17400,17400,11.99%,36 months,credit_card,12.47%,AZ,RENT,6833.33,695-699,7,26587,0,7 years,11,12,2,7,A,14,0,36,695,699,6833.33,7
25,10356,4000,4000,16.82%,60 months,vacation,13.71%,GA,MORTGAGE,4500,670-674,5,20804,0,3 years,16,13,0,3,A,16,1,60,670,674,4500,3
26,46027,7200,7200,7.90%,36 months,debt_consolidation,24.82%,TX,RENT,5416.67,705-709,8,12017,0,7 years,7,24,1,7,A,12,0,36,705,709,5416.67,7
27,2238,8000,8000,14.42%,36 months,debt_consolidation,24.63%,MA,RENT,2964.17,675-679,9,8928,2,6 years,14,24,1,6,C,15,0,36,675,679,2964.17,6
28,65278,8000,8000,15.31%,36 months,debt_consolidation,15.46%,CA,MORTGAGE,2916.67,675-679,13,7152,1,5 years,15,15,1,5,B,15,1,36,675,679,2916.67,5
29,4227,3000,3000,8.59%,36 months,other,3.72%,MA,MORTGAGE,4167,765-769,4,7074,0,5 years,8,3,3,5,A,7,1,36,765,769,4167,5
30,50182,14500,14500,7.90%,36 months,debt_consolidation,4.85%,GA,MORTGAGE,3958.33,760-764,4,9598,0,4 years,7,4,1,4,A,8,1,36,760,764,3958.33,4
31,87023,23850,23850,21.00%,60 months,debt_consolidation,28.81%,LA,MORTGAGE,5833.33,685-689,19,25968,3,9 years,21,28,1,9,Z,14,1,60,685,689,5833.33,9
32,46120,14000,14000,12.12%,36 months,debt_consolidation,14.93%,CA,MORTGAGE,10583.33,685-689,9,35457,0,2 years,12,14,1,2,A,14,1,36,685,689,10583.33,2
33,30756,35000,34975,16.49%,60 months,debt_consolidation,7.45%,GA,MORTGAGE,10416.67,720-724,7,31414,0,8 years,16,7,1,8,A,11,1,60,720,724,10416.67,8
34,94582,16000,16000,15.80%,60 months,car,11.94%,WV,RENT,5250,685-689,14,154,1,3 years,15,11,0,3,B,14,0,60,685,689,5250,3
35,457,17350,7019.25,13.55%,36 months,debt_consolidation,18.52%,NH,OWN,3666.67,675-679,8,18966,2,6 years,13,18,1,6,C,15,1,36,675,679,3666.67,6
36,96536,8000,7975,7.90%,36 months,car,29.62%,AL,MORTGAGE,5583.33,780-784,9,6065,1,10+ years,7,29,0,11,B,7,1,36,780,784,5583.33,11
37,39591,7200,7200,7.90%,36 months,debt_consolidation,7.98%,GA,RENT,5666.67,720-724,5,8783,0,3 years,7,7,1,3,A,11,0,36,720,724,5666.67,3
38,78862,20125,20125,7.62%,36 months,home_improvement,4.29%,VA,MORTGAGE,3750,830-834,13,73952,0,1 year,7,4,4,1,A,7,1,36,830,834,3750,1
39,54619,12000,11875,8.90%,36 months,debt_consolidation,12.06%,NY,RENT,5000,715-719,11,14717,0,4 years,8,12,1,4,A,11,0,36,715,719,5000,4
40,101798,2400,1850,12.49%,36 months,home_improvement,20.56%,MD,MORTGAGE,3448.33,660-664,10,18749,5,< 1 year,12,20,4,0,Z,18,1,36,660,664,3448.33,0
41,98029,3200,3200,17.27%,36 months,home_improvement,8.36%,HI,MORTGAGE,2500,670-674,7,6619,1,3 years,17,8,4,3,B,16,1,36,670,674,2500,3
42,95579,12725,12725,11.14%,36 months,debt_consolidation,22.15%,TX,RENT,4416.67,720-724,23,4079,0,3 years,11,22,1,3,A,11,0,36,720,724,4416.67,3
43,4868,5500,5500,19.13%,36 months,credit_card,3.58%,DC,RENT,12000,660-664,2,0,1,8 years,19,3,2,8,B,18,0,36,660,664,12000,8
44,26822,15650,15650,21.74%,36 months,house,13.86%,MD,RENT,3700,660-664,5,10605,1,4 years,21,13,0,4,B,18,0,36,660,664,3700,4
45,98445,9000,9000,17.27%,36 months,credit_card,25.22%,CA,RENT,5166.67,675-679,14,5852,1,10+ years,17,25,2,11,B,15,0,36,675,679,5166.67,11
46,14958,5000,5000,11.86%,36 months,major_purchase,4%,TX,RENT,5577,715-719,3,1069,0,1 year,11,4,5,1,A,11,0,36,715,719,5577,1
47,14754,3000,3000,10.38%,36 months,debt_consolidation,15.21%,PA,RENT,3083.33,710-714,11,3098,0,2 years,10,15,1,2,A,12,0,36,710,714,3083.33,2
48,34501,20000,19975,23.91%,60 months,debt_consolidation,9.47%,CA,MORTGAGE,11250,670-674,5,11168,0,< 1 year,23,9,1,0,A,16,1,60,670,674,11250,0
49,26888,5450,5450,7.49%,60 months,other,2.48%,WA,MORTGAGE,4600,785-789,14,4326,0,10+ years,7,2,3,11,A,8,1,60,785,789,4600,11
50,81759,14000,14000,12.12%,36 months,debt_consolidation,11.38%,NY,MORTGAGE,4500,705-709,22,18583,0,5 years,12,11,1,5,A,12,1,36,705,709,4500,5
